CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15565701,Ferri,698,Spain,Female,39,9,161993.89,1,0,0,90212.38,0
15565706,Akobundu,612,Spain,Male,35,1,0.00,1,1,1,83256.26,1
15565714,Cattaneo,601,France,Male,47,1,64430.06,2,0,1,96517.97,0
15565779,Kent,627,Germany,Female,30,6,57809.32,1,1,0,188258.49,0
15565796,Docherty,745,Germany,Male,48,10,96048.55,1,1,0,74510.65,0
15565806,Toosey,532,France,Male,38,9,0.00,2,0,0,30583.95,0
15565878,Bates,631,Spain,Male,29,3,0.00,2,1,1,197963.46,0
15565879,Riley,845,France,Female,28,9,0.00,2,1,1,56185.98,0
15565891,Dipietro,709,France,Male,39,8,0.00,2,1,0,56214.09,0
15565996,Arnold,653,France,Male,44,8,0.00,2,1,1,154639.72,0
15566030,Tu,497,Germany,Male,41,5,80542.81,1,0,0,88729.22,1
15566091,Thomsen,545,Spain,Female,32,4,0.00,1,1,0,94739.20,0
15566111,Estes,596,France,Male,39,9,0.00,1,1,0,48963.59,0
15566139,Ts'ui,526,France,Female,37,5,53573.18,1,1,0,62830.97,0
15566156,Franklin,749,Germany,Female,44,0,71497.79,2,0,0,151083.80,0
15566211,Hsu,616,Germany,Female,41,1,103560.57,1,1,0,236.45,1
15566251,Ferrari,618,France,Female,37,5,96652.86,1,1,0,98686.40,1
15566253,Manning,580,Germany,Male,44,9,143391.07,1,0,0,146891.07,1
15566269,Chialuka,787,France,Male,25,5,0.00,2,1,0,47307.90,0
15566292,Okwuadigbo,574,Spain,Male,36,1,0.00,2,0,1,71709.12,0
15566295,Sanders,761,France,Female,33,6,138053.79,2,1,0,148779.41,0
15566312,Jolly,660,Spain,Female,42,5,0.00,3,1,1,189016.24,1
15566378,Tillman,515,France,Male,48,5,129387.94,1,0,1,147955.91,1
15566380,Drury,586,Spain,Female,33,10,66948.67,2,1,1,140759.03,0
15566467,Hannah,683,Germany,Female,32,0,138171.10,2,1,1,188203.58,0
15566494,Fang,487,France,Male,45,2,0.00,2,1,0,77475.73,0
15566495,Hanson,704,Spain,Female,24,2,0.00,1,1,0,35600.25,1
15566531,Iloerika,724,Germany,Male,33,4,88046.88,1,0,1,186942.49,1
15566543,Aldridge,573,Spain,Male,44,9,0.00,2,1,0,107124.17,0
15566563,Duigan,777,France,Female,30,4,137851.31,1,1,0,5008.23,1
15566594,McKenzie,709,Spain,Male,23,10,0.00,2,0,0,129590.18,0
15566633,Freeman,698,Germany,Male,55,8,155059.10,2,1,1,144584.29,0
15566660,Cole,670,France,Female,41,10,0.00,3,1,0,81602.02,0
15566689,Chimaoke,554,Spain,Male,66,8,0.00,2,1,1,116747.62,0
15566708,Chidalu,444,France,Female,45,4,0.00,2,1,0,161653.50,1
15566735,Obialo,548,Germany,Female,36,2,108913.84,2,1,1,140460.01,0
15566740,Nazarova,587,Spain,Male,51,3,83739.32,1,0,1,148798.45,0
15566790,McIntyre,598,France,Male,28,8,129991.76,2,0,1,46041.08,0
15566843,Gotch,535,Germany,Male,20,9,134874.40,1,1,1,118825.56,0
15566891,Kinder,584,Germany,Female,41,3,88594.93,1,1,0,178997.89,0
15566894,Gray,793,France,Male,39,3,137817.52,1,0,0,83997.79,0
15566958,"Li Fonti",667,Spain,Male,39,7,167557.12,1,1,1,41183.02,0
15566988,Iqbal,656,Germany,Female,46,7,141535.52,1,1,0,50595.15,1
15567013,"De Luca",779,Spain,Male,33,3,0.00,2,1,0,30804.68,0
15567063,Manna,766,Germany,Female,34,6,106434.94,1,0,1,137995.66,1
15567078,Kovaleva,789,France,Female,27,8,66201.96,1,1,1,79458.12,0
15567114,McGarry,430,France,Male,35,1,118894.22,1,0,0,2923.61,0
15567147,Ratten,802,Spain,Male,40,4,0.00,2,1,1,81908.09,0
15567246,Selwyn,684,Germany,Male,32,3,102630.13,2,1,1,127433.47,0
15567328,Ch'en,738,Spain,Male,38,5,177997.07,1,0,1,19233.41,0
15567333,Archambault,712,France,Female,31,7,0.00,2,1,0,170333.38,0
15567335,Allsop,559,France,Female,42,7,0.00,2,1,1,190040.29,0
15567339,Shaw,735,France,Male,73,9,0.00,1,1,1,114283.33,0
15567367,Tao,601,Germany,Female,42,9,133636.16,1,0,1,103315.74,0
15567383,Slone,678,Germany,Female,44,2,98009.13,2,0,1,31384.86,0
15567399,Enderby,633,Germany,Male,43,3,144164.29,1,1,1,158646.46,0
15567422,Chiazagomekpele,630,France,Male,42,6,0.00,2,1,0,162697.93,0
15567431,Kodilinyechukwu,773,France,Male,64,2,145578.28,1,0,1,186172.85,0
15567437,Emenike,734,Germany,Female,30,7,123040.38,1,1,1,76503.06,0
15567442,Ibezimako,656,France,Female,75,3,0.00,2,1,1,1276.87,0
15567446,Coffman,646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0
15567486,Li,634,Spain,Female,41,4,0.00,2,1,1,164549.74,0
15567506,Cheatham,738,Germany,Female,40,6,114940.67,2,1,1,194895.57,1
15567557,Chien,573,France,Male,27,2,128243.03,1,1,1,11631.34,0
15567630,Bruce,721,Germany,Male,40,6,100275.88,1,1,0,138564.48,1
15567725,Kodilinyechukwu,689,France,Female,46,7,52016.08,2,1,1,72993.65,0
15567778,Genovese,690,Germany,Female,54,1,144027.80,1,1,1,108731.02,1
15567802,Childs,450,Spain,Female,34,2,0.00,2,1,0,175480.93,0
15567832,Shih,550,France,Female,40,7,114354.95,1,1,0,54018.93,0
15567834,Nieves,719,France,Male,49,5,105918.10,1,1,1,16246.59,0
15567839,Gordon,501,France,Male,42,9,114631.23,1,0,1,91429.74,0
15567855,Chukwufumnanya,623,France,Female,29,1,0.00,2,0,0,39382.06,0
15567860,Burrows,581,Spain,Female,44,7,189318.16,2,1,0,45026.23,1
15567893,Lei,556,Germany,Male,33,3,124213.36,2,1,0,62627.55,0
15567897,Chiazagomekpere,619,Germany,Male,23,5,132725.10,1,1,1,143913.33,0
15567919,Lazarev,586,Germany,Male,37,8,167735.69,2,0,1,104665.79,0
15567923,Barese,739,France,Female,30,6,0.00,1,0,0,122604.44,0
15567980,Frater,537,Germany,Female,46,5,100727.50,1,0,1,140857.76,1
15567991,Obiuto,794,Spain,Male,31,0,144880.34,2,0,1,175643.44,0
15567993,Palmer,828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0
15568006,Ukaegbunam,634,France,Female,45,2,0.00,4,1,0,101039.53,1
15568025,Hsueh,758,France,Male,51,8,81710.46,1,1,1,116520.07,0
15568032,Moore,757,Germany,Male,31,1,127320.36,3,1,0,163170.32,0
15568044,Butusov,508,France,Female,31,7,0.00,2,1,1,6123.15,0
15568046,Izuchukwu,809,France,Male,24,7,109558.36,1,1,0,183515.13,0
15568088,Jamieson,481,Germany,Male,44,3,163714.52,1,1,0,96123.72,0
15568104,Zubarev,749,France,Female,26,6,0.00,2,0,1,34948.77,0
15568106,L?,592,France,Female,38,8,119278.01,2,0,1,19370.73,0
15568120,Lacross,681,France,Female,37,7,69609.85,1,1,1,72127.83,0
15568162,Sung,527,Spain,Male,53,8,0.00,1,1,1,51711.57,0
15568164,Istomin,850,France,Female,34,4,71379.53,2,1,1,154000.99,0
15568238,Diaz,650,Spain,Male,20,8,0.00,2,1,1,113469.65,0
15568240,Ting,492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0
15568326,Kenenna,637,France,Female,44,2,0.00,2,1,0,149665.65,0
15568328,Black,488,France,Female,22,6,0.00,2,1,1,66393.89,0
15568360,Rolon,569,Spain,Female,41,4,139840.36,1,1,1,163524.70,0
15568429,Mitchell,633,Spain,Female,46,3,0.00,2,1,0,120250.58,0
15568449,Fu,661,Spain,Male,38,7,143006.70,1,1,1,15650.89,0
15568469,Buckley,653,France,Male,43,0,0.00,2,1,0,27862.58,0
15568487,Gorshkov,712,France,Male,35,7,124616.23,1,1,1,69320.97,0
15568506,Forbes,524,Germany,Female,31,10,67238.98,2,1,1,161811.23,0
15568519,Wood,534,France,Male,41,9,0.00,2,1,0,13871.34,0
15568562,Moss,689,France,Male,40,8,160272.27,1,1,0,49656.24,0
15568573,Graham,554,Germany,Female,51,7,105701.91,1,0,1,179797.79,1
15568595,Fleming,544,France,Male,64,9,113829.45,1,1,1,124341.49,0
15568742,Parkes,536,France,Female,41,9,0.00,1,1,0,121299.14,0
15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
15568819,Chiganu,619,Germany,Female,42,8,132796.04,3,1,1,191821.35,1
15568834,Howells,698,Spain,Male,27,6,125427.37,2,0,0,27654.44,0
15568849,Bryan,540,Spain,Female,31,10,118158.74,1,1,1,158027.57,0
15568876,Hughes,496,France,Female,34,1,102723.35,2,1,0,180844.81,0
15568878,Cheng,654,Spain,Male,34,5,0.00,2,1,0,159311.46,0
15568885,Scott,620,Germany,Female,34,8,102251.57,1,1,0,120672.09,0
15568904,Kruglova,608,Germany,Male,34,3,106288.54,1,1,1,36639.25,0
15568915,Bailey,681,France,Male,38,6,153722.47,1,1,0,101319.76,0
15568953,Alexeieva,477,France,Male,27,1,128554.98,1,1,1,133173.19,0
15568963,Naquin,674,Germany,Male,34,2,152797.90,1,1,0,175709.40,1
15568982,Hao,726,France,Female,24,6,0.00,2,1,1,54724.03,0
15569050,Farrell,444,France,Male,45,6,0.00,1,1,0,130009.85,1
15569079,Hagins,632,Germany,Male,48,6,126066.26,1,1,0,64345.61,1
15569098,Winifred,627,France,Male,44,6,153548.12,1,0,0,35300.08,1
15569120,Lucas,615,France,Male,30,7,0.00,2,1,1,156346.84,0
15569178,Kharlamov,570,France,Female,18,4,82767.42,1,1,0,71811.90,0
15569187,Fleming,680,Spain,Male,35,9,0.00,2,0,0,143774.06,0
15569209,Amaechi,464,Spain,Female,34,5,76001.57,1,1,1,158668.87,0
15569222,Mendes,781,France,Male,32,6,147107.91,1,1,1,40066.95,0
15569247,Mitchell,727,Spain,Female,57,1,109679.72,1,0,1,753.37,0
15569248,Milanesi,554,France,Female,43,10,0.00,2,1,0,149629.13,1
15569249,Howarth,576,France,Female,55,6,44582.07,3,0,1,67539.85,1
15569264,Yobanna,622,France,Male,32,5,179305.09,1,1,1,149043.78,0
15569266,Rahman,644,France,Male,28,7,155060.41,1,1,0,29179.52,0
15569274,Pisano,678,Germany,Male,49,2,116933.11,1,1,0,195053.58,1
15569364,Victor,666,France,Male,36,3,0.00,2,1,0,35156.54,0
15569394,Bailey,704,France,Male,24,2,148197.15,2,1,0,182775.08,0
15569410,Tang,601,Germany,Female,33,7,114430.18,2,1,1,153012.13,0
15569423,Cunningham,731,Spain,Male,41,4,0.00,2,1,0,22299.27,0
15569430,Burrows,704,Spain,Female,36,2,175509.80,2,1,0,152039.67,0
15569432,Macleod,656,France,Female,48,9,0.00,2,1,1,85240.61,1
15569438,Mai,607,Germany,Male,36,10,106702.94,2,0,0,198313.69,0
15569446,Tu,732,France,Female,34,8,122338.43,2,1,0,187985.85,0
15569451,Miller,463,France,Male,35,2,101257.16,1,1,1,118113.64,0
15569452,Butler,652,Germany,Female,58,3,116353.20,2,0,1,193502.90,0
15569503,Yeh,765,France,Male,44,6,0.00,2,1,1,159899.97,0
15569526,Morales,601,France,Male,40,10,98627.13,2,0,0,77977.69,0
15569571,Davydova,584,Germany,Female,46,6,87361.02,2,1,0,120376.87,1
15569572,Sopuluchi,778,France,Male,42,6,0.00,2,1,1,106197.44,0
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15569595,Walker,678,France,Female,50,6,0.00,1,1,0,8199.50,0
15569624,Feng,671,Germany,Female,31,6,105864.60,2,1,0,145567.34,0
15569626,Miller,577,Spain,Male,35,5,110080.30,1,1,1,109794.31,0
15569641,Sung,692,Germany,Female,41,8,130701.29,1,1,0,59354.24,1
15569654,Munro,850,Germany,Female,31,3,51293.47,1,0,0,35534.68,0
15569666,Goddard,517,France,Female,45,4,0.00,1,0,0,172674.36,1
15569670,Alexeyeva,627,Germany,Male,30,6,112372.96,1,1,1,118029.09,0
15569678,Cocci,561,Germany,Male,32,6,166824.59,1,1,0,139451.98,0
15569682,Leckie,768,Germany,Male,37,9,108308.11,1,1,0,41788.25,1
15569759,Rawling,583,France,Female,27,4,0.00,3,1,0,163113.41,0
15569764,Garner,687,Germany,Female,41,2,154007.21,1,1,0,158408.23,0
15569807,Ejimofor,673,France,Female,34,8,42157.08,1,1,0,20598.59,1
15569867,Chinweuba,529,France,Female,29,8,0.00,2,1,0,19842.11,0
15569878,Dale,592,France,Male,37,3,96651.03,1,1,1,3232.82,0
15569892,Johnstone,516,France,Male,35,10,57369.61,1,1,1,101699.77,0
15569917,Obijiaku,706,Spain,Male,30,6,87609.68,2,0,0,137674.55,1
15569945,Horsley,509,Spain,Male,29,1,0.00,2,1,0,69113.14,0
15569976,Woronoff,754,Germany,Male,65,1,136186.44,1,1,1,121529.59,1
15570002,Burlingame,625,Germany,Female,55,8,118772.71,4,0,0,135853.62,1
